ProductID,ProductName,Category,SKU,CostPrice,SalePrice,StockQty,ReorderLevel,VendorID,Brand,Weight_kg,Unit,DateAdded,IsActive
PROD0001,"Tablet 10""",Electronics,SKU-50405,256.76,307.59,227,28,VEND0098,NovaBrand,1.62,Each,2023-01-19,No
PROD0002,Cable Organizer,Electronics,SKU-13442,447.8,618.23,45,27,VEND0071,OfficeMax,8.99,Pack,2024-02-28,Yes
PROD0003,CPU Cooler,Storage,SKU-83339,333.98,501.18,463,20,VEND0074,SwiftGear,10.31,Box,2022-10-12,Yes
PROD0004,HDMI Cable,Peripherals,SKU-66973,218.38,265.48,141,31,VEND0039,BrightWork,11.76,Pack,2023-05-31,Yes
PROD0005,White Board,Electronics,SKU-27758,477.08,590.62,155,5,VEND0051,CorePlus,12.64,Set,2023-11-06,No
PROD0006,Router WiFi,Storage,SKU-87908,347.34,528.16,69,24,VEND0042,EliteDesk,7.24,Box,2024-03-26,Yes
PROD0007,CPU Cooler,Networking,SKU-41775,589.23,845.43,166,29,VEND0036,ZenTech,5.54,Pair,2023-02-14,Yes
PROD0008,Scanner Flatbed,Storage,SKU-37479,26.4,39.0,224,23,VEND0089,OfficeMax,12.3,Set,2024-10-19,Yes
PROD0009,HDMI Cable,Storage,SKU-65460,197.41,285.53,404,29,VEND0010,BrightWork,14.86,Set,2024-03-31,No
PROD0010,Shredder,Storage,SKU-80373,34.23,54.28,304,45,VEND0011,OfficeMax,11.56,Pack,2022-12-07,Yes
PROD0011,UPS Battery,Furniture,SKU-53463,786.97,1144.93,494,32,VEND0014,TechPro,1.57,Box,2024-11-11,Yes
PROD0012,Cable Organizer,Storage,SKU-87147,302.43,410.81,353,37,VEND0020,CorePlus,14.97,Set,2022-08-03,Yes
PROD0013,Screen Protector,Accessories,SKU-28569,736.84,875.83,178,24,VEND0044,BrightWork,11.79,Pair,2024-09-16,Yes
PROD0014,Desk Fan,Furniture,SKU-51800,82.61,121.84,34,24,VEND0006,OfficeMax,0.44,Pack,2022-08-12,Yes
PROD0015,Hard Drive 1TB,Office Supplies,SKU-83380,415.22,580.63,218,34,VEND0030,ZenTech,9.48,Box,2024-06-04,No
PROD0016,Wireless Mouse,Furniture,SKU-87621,591.22,914.85,219,29,VEND0001,EliteDesk,3.17,Each,2022-07-28,Yes
PROD0017,Smart Watch,Office Supplies,SKU-97910,264.16,358.17,441,36,VEND0068,CorePlus,8.99,Pair,2024-03-14,Yes
PROD0018,External SSD,Peripherals,SKU-98288,284.83,386.24,361,24,VEND0079,OfficeMax,10.11,Pack,2022-08-30,Yes
PROD0019,HDMI Cable,Peripherals,SKU-76954,97.97,129.12,198,31,VEND0077,SwiftGear,8.66,Set,2023-01-16,No
PROD0020,Shredder,Peripherals,SKU-82733,556.28,801.25,85,36,VEND0037,SwiftGear,2.89,Set,2022-04-20,Yes
PROD0021,Laptop,Furniture,SKU-83607,390.26,483.07,258,46,VEND0064,ZenTech,10.3,Set,2024-06-28,No
PROD0022,A4 Paper Ream,Accessories,SKU-38905,70.72,82.31,149,7,VEND0036,EliteDesk,8.11,Box,2024-07-25,No
PROD0023,Scanner Flatbed,Office Supplies,SKU-81186,411.09,578.7,421,28,VEND0070,TechPro,11.42,Set,2023-03-24,No
PROD0024,Headset Pro,Peripherals,SKU-49021,590.11,852.21,447,7,VEND0058,NovaBrand,5.29,Each,2024-06-18,Yes
PROD0025,Hard Drive 1TB,Storage,SKU-55957,171.85,254.67,440,50,VEND0079,ZenTech,2.57,Box,2023-02-28,Yes
PROD0026,USB-C Hub,Networking,SKU-80617,458.21,636.69,86,25,VEND0091,NovaBrand,4.41,Pack,2024-11-19,Yes
PROD0027,Standing Desk,Electronics,SKU-46349,770.4,1158.34,443,46,VEND0017,SwiftGear,3.82,Pack,2023-05-22,No
PROD0028,White Board,Storage,SKU-64293,118.03,169.32,192,33,VEND0010,OfficeMax,6.1,Pack,2024-01-26,No
PROD0029,White Board,Accessories,SKU-22208,265.19,305.26,374,34,VEND0082,CorePlus,12.77,Pair,2024-03-25,Yes
PROD0030,Laptop Bag,Office Supplies,SKU-47171,660.75,906.96,172,40,VEND0074,SwiftGear,8.54,Set,2023-12-05,Yes
PROD0031,Mechanical Keyboard,Furniture,SKU-12134,84.16,126.47,63,15,VEND0057,BrightWork,0.11,Set,2023-02-19,Yes
PROD0032,HDMI Cable,Office Supplies,SKU-22234,131.39,206.25,335,28,VEND0033,OfficeMax,5.64,Box,2022-04-17,No
PROD0033,HDMI Cable,Furniture,SKU-95915,582.16,867.33,46,50,VEND0013,TechPro,3.28,Each,2022-09-29,Yes
PROD0034,File Cabinet,Storage,SKU-55032,545.59,629.71,418,12,VEND0055,SwiftGear,7.22,Box,2024-02-24,Yes
PROD0035,Headset Pro,Office Supplies,SKU-27973,87.05,114.51,195,13,VEND0083,SwiftGear,1.12,Pair,2022-01-18,Yes
PROD0036,Cable Organizer,Storage,SKU-29840,284.19,354.07,470,31,VEND0079,BrightWork,12.91,Each,2022-07-25,Yes
PROD0037,Office Chair,Furniture,SKU-51222,473.71,626.63,405,13,VEND0032,NovaBrand,9.7,Box,2023-08-07,Yes
PROD0038,HDMI Cable,Peripherals,SKU-61347,168.33,239.55,151,46,VEND0007,EliteDesk,7.47,Each,2023-05-09,No
PROD0039,Patch Cable,Electronics,SKU-57329,61.45,95.24,478,25,VEND0017,ZenTech,12.93,Pair,2024-05-11,Yes
PROD0040,Shredder,Accessories,SKU-19567,547.94,818.2,8,42,VEND0009,TechPro,4.01,Each,2022-05-04,No
PROD0041,Marker Set,Accessories,SKU-64451,232.76,342.32,216,49,VEND0052,OfficeMax,9.64,Pair,2022-11-09,Yes
PROD0042,Webcam HD,Peripherals,SKU-30365,251.38,346.93,274,25,VEND0051,OfficeMax,4.72,Set,2023-05-04,Yes
PROD0043,Hard Drive 1TB,Furniture,SKU-90254,73.54,98.95,311,8,VEND0040,SwiftGear,1.88,Box,2022-01-24,Yes
PROD0044,White Board,Accessories,SKU-43980,762.65,1056.54,85,28,VEND0017,NovaBrand,11.02,Each,2022-03-02,Yes
PROD0045,Laptop Bag,Storage,SKU-85582,221.22,260.76,321,9,VEND0064,BrightWork,7.71,Each,2024-10-20,Yes
PROD0046,Smart Watch,Networking,SKU-98358,130.06,194.83,370,12,VEND0030,TechPro,0.76,Each,2023-05-16,Yes
PROD0047,Desk Fan,Peripherals,SKU-14635,294.36,460.41,283,50,VEND0095,ZenTech,3.45,Box,2024-05-02,Yes
PROD0048,RAM 16GB,Electronics,SKU-75803,661.67,931.1,344,8,VEND0023,EliteDesk,12.08,Each,2024-04-01,Yes
PROD0049,Bluetooth Speaker,Office Supplies,SKU-52899,693.5,1038.92,44,40,VEND0059,TechPro,5.6,Pack,2023-09-15,Yes
PROD0050,Bluetooth Speaker,Accessories,SKU-35614,297.78,472.68,375,39,VEND0098,EliteDesk,2.34,Set,2022-02-18,Yes
PROD0051,Shredder,Electronics,SKU-53911,280.41,428.41,0,47,VEND0049,NovaBrand,1.65,Pair,2023-05-03,No
PROD0052,White Board,Peripherals,SKU-46677,769.14,1221.13,47,7,VEND0030,ZenTech,10.54,Pack,2024-07-27,Yes
PROD0053,Network Switch,Accessories,SKU-61688,80.98,97.99,38,42,VEND0073,TechPro,6.58,Box,2023-04-30,Yes
PROD0054,SSD 512GB,Furniture,SKU-52762,681.48,1067.69,162,33,VEND0035,EliteDesk,1.21,Box,2022-10-06,Yes
PROD0055,Printer Ink,Office Supplies,SKU-63282,89.0,120.36,61,39,VEND0046,EliteDesk,6.83,Set,2023-06-27,Yes
PROD0056,Webcam HD,Accessories,SKU-89076,130.3,190.07,20,18,VEND0042,SwiftGear,1.46,Box,2023-12-30,No
PROD0057,Marker Set,Accessories,SKU-32789,43.92,56.41,15,30,VEND0058,EliteDesk,1.51,Each,2022-10-14,Yes
PROD0058,Laptop,Peripherals,SKU-27133,54.03,81.12,101,30,VEND0048,OfficeMax,8.78,Pack,2022-06-03,Yes
PROD0059,"Monitor 24""",Accessories,SKU-26880,162.21,233.69,47,26,VEND0016,TechPro,14.14,Each,2022-12-11,No
PROD0060,Phone Case,Furniture,SKU-32650,399.42,528.12,181,18,VEND0024,NovaBrand,4.27,Box,2022-03-12,Yes
PROD0061,CPU Cooler,Furniture,SKU-17992,401.62,621.41,44,22,VEND0050,SwiftGear,6.35,Pair,2023-05-26,Yes
PROD0062,"Tablet 10""",Networking,SKU-73527,626.62,821.88,176,41,VEND0065,CorePlus,5.89,Box,2022-02-23,Yes
PROD0063,Patch Cable,Accessories,SKU-46822,179.12,278.19,29,35,VEND0068,CorePlus,11.53,Box,2022-11-23,Yes
PROD0064,Hard Drive 1TB,Accessories,SKU-17328,527.21,669.52,391,19,VEND0074,ZenTech,5.39,Box,2022-12-27,Yes
PROD0065,Network Switch,Office Supplies,SKU-87537,257.81,382.11,14,50,VEND0090,CorePlus,14.22,Pair,2022-10-19,Yes
